size,count_average,time_average
5000,5636093.500000,0.108091
6000,8133969.200000,0.143253
7000,11044083.000000,0.196074
8000,14480570.000000,0.268928
9000,18313715.500000,0.335240
10000,22649034.200000,0.427284
11000,27349987.400000,0.528963
12000,32456418.100000,0.611414
13000,38124446.700000,0.715513
14000,44132713.800000,0.836261
15000,50692521.300000,0.965140
16000,57785519.700000,1.105689
17000,65193609.800000,1.243329
18000,73215276.500000,1.409444
19000,81660436.700000,1.576298
20000,90229491.800000,1.732289
21000,99692782.200000,1.916068
22000,109429586.200000,2.109043
23000,119652934.500000,2.311117
24000,129956310.900000,2.511111
25000,140945984.100000,2.727451
26000,152824529.400000,2.954571
27000,164825640.600000,3.196115
28000,177033465.500000,3.434268
29000,190071895.400000,3.685532
30000,203136985.800000,3.946068
